name,eye_color,gender,species,description
Melvor Khamp,NaN,NaN,NaN,"In [[1 ABY/Legends|1 ABY]], Khamp was stationed in the [[Sluis Van Shipyards]] when the Empire attacked his [[Homeworld/Legends|homeworld]], in what became known as the [[Sixty Hour War]], and Khamp's entire family were [[Death/Legends|killed]]. Following the attack, Khamp returned to Derilyn, and after learning of his family's fate, he disappeared into Derilyn's underworld community and eventually became a member of the [[Friends of Paran]], an anti-Imperial resistance group. After joining the [[Alliance to Restore the Republic/Legends|Alliance to Restore the Republic]] as well, Khamp became a resident of the [[Friends of Paran base]] in the [[City/Legends|city]] [[Knellis]]. There, he tasked some Rebel agents and several Friends of Paran operatives to infiltrate Derilyn's [[Imperial Monitoring Garrison]], to steal [[Datafile/Legends|datafiles]] regarding [[Operation: Elrood]]. Using the data that was gathered in the raid, Khamp subsequently sent the Rebels to board the [[Star Destroyer/Legends|Star Destroyer]] ''[[Brazen]]''."
Farn Klin,NaN,NaN,NaN,"Farn Klin, a [[Force-sensitive/Legends|Force-sensitive]] individual of a [[Farn Klin's species|species]], was inducted into the [[Jedi Order/Legends|Jedi Order]] at a young age and began [[Jedi training/Legends|training]] in the ways of [[The Force/Legends|the Force]] at the [[Coruscant/Legends|Coruscant]] [[Jedi Temple]], shortly before the outbreak of the [[Clone Wars/Legends|Clone Wars]]. Stationed at the Temple throughout the war, Klin, joined by fellow student [[Ran Deezy/Legends|Ran Deezy]], attended a gathering of Jedi in a [[Jedi Temple communication center/Legends|Temple comm station]] when [[General/Legends|General]] [[Grievous/Legends|Grievous]] sent a [[Hologram/Legends|holographic]] transmission in which the [[Cyborg/Legends|cyborg]] gloated over his capture and [[Torture/Legends|torture]] of [[Jedi Master/Legends|Jedi Master]] [[Eeth Koth/Legends|Eeth Koth]].&lt;ref name=""GI"" /&gt;{{Char-stub}}"
Meso Laloo,Yellow,NaN,Jawa,"Around [[1 ABY/Legends|1 ABY]], Meso Laloo worked at the [[Jawa Mountain Fortress]] on [[Tatooine/Legends|Tatooine]].&lt;ref name=""AED"" /&gt;{{Char-stub}}"
Nan Latourain,NaN,NaN,NaN,"A [[Force-sensitive/Legends|Force-sensitive]], Nan Latourain was [[Jedi training/Legends|trained]] in the ways of [[The Force/Legends|the Force]] by the [[Jedi Order/Legends|Jedi Order]] before passing his [[Jedi Trials/Legends|Trials of Knighthood]] and ascending to the rank of [[Jedi Knight/Legends|Jedi Knight]]. Delving into the work of the [[Jedi Sentinel|Sentinel]], Latourain became an expert [[Slicer/Legends|slicer]] and attained the rank of [[Jedi Master/Legends|Jedi Master]] at some point in time.&lt;ref name=""TFP"" /&gt;Latourain was stationed at the [[Coruscant/Legends|Coruscant]] [[Jedi Temple]] in [[24 BBY/Legends|24 BBY]], having been offered a position as an [[Jedi instructor|instructor]]. Accepting, Latourain taught classes in codes, ciphers, and encryption bypasses at the [[Jedi academy|Temple academy]] to [[Jedi Initiate|older initiates]]. Famed Jedi [[Obi-Wan Kenobi/Legends|Obi-Wan Kenobi]] studied under Latourain during his time at the academy.&lt;ref name=""TFP"" /&gt;"
Vrook Lamar's Padawan,NaN,NaN,NaN,"[[File:Vrookfull.jpg|thumb|right|150px|The Padawan trained under Vrook Lamar in the time period before the Mandalorian Wars.]]A [[Padawan/Legends|Padawan]] [[Jedi training/Legends|learned]] the ways of the [[Jedi Order/Legends|Jedi Order]] under [[Jedi Master/Legends|Jedi Master]] [[Vrook Lamar]] in the [[Time/Legends|time]] period before the [[Mandalorian Wars]], a [[The galaxy/Legends|galaxy]]-spanning conflict between the [[Galactic Republic/Legends|Galactic Republic]] and [[Mandalorian Neo-Crusaders/Legends|Mandalorian Neo-Crusaders]]. While the Padawan was at the [[Jedi Enclave]] on the [[Planet/Legends|planet]] [[Dantooine/Legends|Dantooine]], the student engaged in an intense debate with fellow Padawan&lt;ref name=""Holovid"" /&gt; [[Meetra Surik]].&lt;ref name=""Note""&gt;The character of the Jedi Exile, the protagonist of ''[[Star Wars: Knights of the Old Republic II: The Sith Lords]]'', was later confirmed to have been known as Meetra Surik in the novel ''[[The Old Republic: Revan]]''.&lt;/ref&gt; As a result, Lamar sought to have [[Meetra Surik's Jedi Master|Surik's Master]] discipline her, but the [[Jedi/Legends|Jedi]] refused. After this, Lamar brought the issue up to Master [[Vandar Tokare]], who also refused to take any action.&lt;ref name=""Holovid"" /&gt;"
Cruva Lenda,NaN,NaN,Twi'lek,"Cruva Lenda was a [[Twi'lek/Legends|Twi'lek]]&lt;ref name=""TF"" /&gt; who lived during the era of the [[New Republic/Legends|New Republic]]&lt;ref name=""Scourge""&gt;[[Scourge (novel)|''Scourge'']]&lt;/ref&gt; and was employed by the [[organization]] of [[Nirama]],&lt;ref name=""TF"" /&gt; an [[Oblee]]&lt;ref name=""Recursion""&gt;''[[Recursion]]''&lt;/ref&gt; [[Crime lord/Legends|crime lord]] who was based in the [[Cularin system]].&lt;ref name=""TF"" /&gt; In [[19 ABY/Legends|19 ABY]],&lt;ref name=""Scourge"" /&gt; Lenda and fellow Twi'lek [[Ranso Li]] journeyed from the [[Planet/Legends|planet]] [[Cularin/Legends|Cularin]] to the [[Moon/Legends|moon]] [[Nar Shaddaa/Legends|Nar Shaddaa]] in order to acquire some fast, used [[Freighter/Legends|freighters]] for Nirama's [[Smuggler/Legends|smuggling]] operation. On arrival on the world, the pair attended a party that was held by the [[Hutt/Legends|Hutt]] [[Popara Anjiliac Diresto]] in [[Popara's penthouse]],&lt;ref name=""TF"" /&gt; to commemorate the recent rescue of Popara's son [[Mika Anjiliac Chiera|Mika]] by the [[Jedi archivist]] [[Mander Zuma]] and the [[Spacer/Legends|spacers]] [[Eddey Be'ray]] and [[Reen Irana]].&lt;ref name=""Scourge"" /&gt;"
Li'Iri,NaN,NaN,NaN,"In around [[20 BBY/Legends|20 BBY]],&lt;ref name=""20 BBY""&gt;The ''[[Living Force Campaign Guide]]'' states that the [[Living Force (RPG)|''Living Force'']] campaign is set one [[Standard year/Legends|year]] after the [[Invasion of Naboo/Legends|Invasion of Naboo]], an event that is dated to [[32 BBY/Legends|32 BBY]] by ''[[The New Essential Chronology]]''. As the ''Living Force'' adventure ''[[Philology]]'' [[Cularin's disappearance|moved]] the campaign forward ten years to the [[Time/Legends|time]] of the [[Clone Wars/Legends|Clone Wars]], and the adventure ''[[Night's Homecoming]]'' established that by Year 4 of the campaign over a year had elapsed since the events of ''Philology'', ''[[A Mon Alone]]'' can therefore be dated to circa [[20 BBY/Legends|20 BBY]].&lt;/ref&gt; as a [[Youngling/Legends|youngling]], Li'Iri was captured along with three fellow Tarasin children, [[Tiscak]], [[Honna]] and [[Kaj]], due to their innate Force-sensitivity. Their captor, [[Chevin/Legends|Chevin]] slaver [[Phylus Mon]], jailed them in a cell in his slave zoo aboard the ''[[Animiasma]]''. He also flogged all of the children with his three-tailed barbed whip.Their disappearance did not go unnoticed: Jedi Master [[Lanius Qel-Bertuk]] knew of the kidnappings, and even suspected of Phylus Mon, but still could do nothing to rescue them.The children were kept in the cell, the only Force-sensitives in the zoo. They instinctively disliked fellow prisoner [[Halin Bok]]. Honna also managed to communicate with the [[Mantellian Savrip/Legends|Mantellian Savrips]] in another cell, [[Clu]], [[Taf]] and [[Mev (Savrip)|Mev]]. The Savrip promised to go through the energy bars to rescue the children should anyone try to take them against their will. Honna was scared of that, because the energy bars could easily kill the Savrips should they ever attempt that.Phylus Mon surgically inserted an explosive near the heart of each of his slaves. The explosive would be activated in the case of Phylus Mon's death, but it could also be deactivated with the impact of an [[Ion gun|ion weapon]]. All the slaves in Phylus Mon's zoo were also regularly battered."
Ranso Li,NaN,NaN,Twi'lek,"Ranso Li was a [[Twi'lek/Legends|Twi'lek]] who worked for [[Nirama]],&lt;ref name=""TF"" /&gt; an [[Oblee]]&lt;ref name=""Recursion""&gt;''[[Recursion]]''&lt;/ref&gt; [[Crime lord/Legends|crime lord]] who operated a [[Organization|smuggling concern]] in the [[Cularin system]].&lt;ref name=""TF"" /&gt; In [[19 ABY/Legends|19 ABY]], during the reign of the [[New Republic/Legends|New Republic]],&lt;ref name=""Scourge""&gt;[[Scourge (novel)|''Scourge'']]&lt;/ref&gt; Li and the Twi'lek [[Cruva Lenda]] traveled from the [[Planet/Legends|planet]] [[Cularin/Legends|Cularin]] to the [[Moon/Legends|moon]] [[Nar Shaddaa/Legends|Nar Shaddaa]] to acquire some fast, second-hand [[Freighter/Legends|freighters]] for use by Nirama's organization. There, the pair attended a banquet that was held by the [[Hutt/Legends|Hutt]] [[Popara Anjiliac Diresto]] inside [[Popara's penthouse]],&lt;ref name=""TF"" /&gt; in honor of the Hutt's guests [[Eddey Be'ray]], [[Reen Irana]], and [[Mander Zuma]].&lt;ref name=""Scourge"" /&gt;"
Pertaal Logris,NaN,NaN,NaN,"Pertaal Logris was an [[Imperial officer/Legends|officer]] serving in the [[Imperial Navy/Legends|Imperial Navy]] who rose to the [[Military rank/Legends|rank]] of [[Admiral/Legends|admiral]]. By [[8 ABY/Legends|8 ABY]], Logris was serving in [[Moff/Legends|Moff]] [[Kentor Sarne]]'s [[Moff Sarne's forces|forces]] in the [[Kathol sector]] of the [[Outer Rim Territories/Legends|Outer Rim Territories]]. Sarne had established himself as a [[Warlord/Legends|warlord]] following the [[Death/Legends|death]] of [[Galactic Emperor/Legends|Emperor]] [[Palpatine/Legends|Palpatine]] at the [[Battle of Endor/Legends|Battle of Endor]], and the subsequent fracturing of [[Imperial High Command/Legends|Imperial authority]], by quietly withdrawing his [[Sector/Legends|sector]] from the [[Galactic Empire/Legends|Empire]]. Under Sarne, Logris commanded the [[Charis Fleet]], the largest military formation in the sector, consisting of several [[Capital ship/Legends|capital ships]] and smaller [[Starship/Legends|vessels]] based on the [[Planet/Legends|planet]] [[Charis]].&lt;ref name=""TDC"" /&gt;In 8 ABY, Sarne was [[Battle of Kal'Shebbol|ousted]] from his [[Capital/Legends|capital]], [[Kal'Shebbol/Legends|Kal'Shebbol]], by [[New Republic/Legends|New Republic]] [[New Republic task force (Kal'Shebbol)|forces]] as part of their [[DarkStryder Campaign|military offensive]] against him. As the Moff fled into the depths of the Kathol sector, Sarne ordered the Charis Fleet to be broken down into smaller task forces to undertake missions to undermine the New Republic's efforts to expand their sphere of influence in the region through both [[Diplomat/Legends|diplomatic]] and military missions.&lt;ref name=""TDC"" /&gt;"
Gydio Lucone,,,,"During the [[Galactic Civil War/Legends|Galactic Civil War]], Lucone was approached by captain [[Elga Arbo]], a [[Pilot/Legends|pilot]] specialized in fast deliveries. Arbo had bought a modified [[Starfeld Industries/Legends|Starfeld Industries]] [[Z-10 Seeker-class scout ship|Z-10 Seeker]], the ''[[Redshift Runner]]'', and wanted to borrow money from Lucone to improve the [[Hyperdrive/Legends|hyperdrive]]. Lucone agreed.Lucone had purposefully signed strict conditions so that, should Arbo did not pay monthly, Lucone would then impound the [[Starship/Legends|ship]]. Lucone did hope this situation would happen, as it would give Lucone the chance to blackmail Arbo and make her [[Smuggler/Legends|smuggle]] for Lucone. However, Arbo systematically paid in time and at the same time, she got a reputation as a legal pilot.One day, Arbo wanted to pay three days after her deadline. Lucone attempted to claim the ship. Arbo refused and violence ensued. Arbo was seriously injured during the fight, but she and [[Maceb Joodsen]] eventually escaped on the ''Runner''.Enraged, Lucone then issued a 20,000-[[Galactic Credit Standard|credit]] [[Bounty/Legends|bounty]] for the ship and took measures so that it was a well-known fact. Three months later, the bounty had not been claimed."
Machook,Brown,NaN,Ewok,"Machook shared a name with a figure of Ewok legend, one said to have been a hero who built the first tree village on [[Endor/Legends|Endor]].&lt;ref name=""GCG""&gt;''[[Galactic Campaign Guide]]''&lt;/ref&gt;"
Tirs Maladane,NaN,NaN,NaN,"{{Quote|But I never expected the order I got. Fire into the forests? I had to ask my CO to repeat that. But that's what Solo wanted. And so every battery on the Black Annie that had a firing arc opened up.|Maladane, in an excerpt from a transcript of ''Wookiee World Horror Witness!''|The Essential Guide to Warfare}}Tirs Maladane was from [[Little Mochot]] on the [[Water/Legends|rainless]] [[Outer Rim Territories/Legends|Outer Rim]] [[Planet/Legends|planet]] [[Tatooine/Legends|Tatooine]]. When Maladane was fifteen, the Tatooine native's [[Tirs Maladane's aunt|aunt]] sent the teenager to the world [[Pii III]] during the [[Summer/Legends|summer]] to earn some [[Galactic Credit Standard|money]] in the [[Greel wood]] logging industry. During the first [[Standard day/Legends|day]] there, it rained heavily, and Maladane stood out in it laughing and cheering, even though the other workers thought the youth strange. Maladane returned to Little Mochot, where the teenager dreamed of rain every night.&lt;ref name=""TEGTW"" /&gt;Later in life, Maladane served as a [[Lieutenant/Legends|lieutenant]] on the [[Galactic Federation of Free Alliances]]' [[Imperial II-class Star Destroyer/Legends|''Imperial II''-class Star Destroyer]] [[Anakin Solo (Imperial II-class)|''Anakin Solo'']], [[Commander/Legends|commanded]] by the [[Jedi Knight/Legends|Jedi Knight]] [[Darth Caedus|Jacen Solo]], the Galactic Alliance's [[Chief of State (Galactic Alliance)|Chief of State]]. Maladane and some of the crew called the ''Anakin Solo'' the ""Black Annie."" The Tatooine native was a [[Gunner/Legends|gunner]] operating the starboard lateral quad [[Turbolaser/Legends|turbolaser]] cannon and fought in engagements such as [[Battle of Kuat (Second Galactic Civil War)|Kuat]] and [[Battle of Hapes (Second Galactic Civil War)|Hapes]] as the [[Second Galactic Civil War]] raged between the Galactic Alliance and the [[Confederation]].&lt;ref name=""TEGTW"" /&gt; After the [[Jedi Order/Legends|Jedi Order]] abandoned the Galactic Alliance at [[Kuat/Legends|Kuat]] in [[40 ABY]] for Solo's [[Battle of Ossus (Second Galactic Civil War)|move against]] the [[Jedi Academy (Ossus)|Jedi Academy]] on the world [[Ossus/Legends|Ossus]], Jacen Solo, who had now secretly taken the [[Sith/Legends|Sith]] title [[Darth/Legends|Darth]] Caedus, led the ''Anakin Solo'' to the forested world of [[Kashyyyk/Legends|Kashyyyk]] to confront the [[Jedi/Legends|Jedi]] and the native [[Wookiee/Legends|Wookiees]], who were harboring Jedi on their homeworld.&lt;ref name=""inferno""&gt;''[[Legacy of the Force: Inferno]]''&lt;/ref&gt;Maladane and all of the other gunners were ordered to fire into the forests of Kashyyyk after the Jedi and the Wookiees refused to yield to Solo. Maladane asked the commanding [[Officer/Legends|officer]] to repeat the order, but fired anyway because if Maladane refused, the gunner would be put in the brig, with someone else firing at the forests. Maladane cried as they continued to open fire on the forests, setting ablaze the ancient [[Wroshyr tree/Legends|Wroshyr trees]]. As [[Starfighter/Legends|starfighters]] began to attack the ''Anakin Solo'', Maladane gladly turned the [[Cannon/Legends|cannon]] to fire on the fighters, since they could actually fight back. In [[41 ABY]], the [[Standard year/Legends|year]] the war ended, a feature from [[TriNebulon News/Legends|TriNebulon News]] called ''[[Wookiee World Horror Witness!]]'' contained Maladane remembering the experience during the battle.&lt;ref name=""TEGTW"" /&gt;"
